变量,比较,变量类型,回归系数β,标准误SE,OR,OR 95%CI下限,OR 95%CI上限,P值,整体P值,样本量
VIS评分,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-1.8961183025612982,0.5392290158607767,0.15015032762638109,0.05218356120855536,0.4320349237225567,0.0004375227266275476,0.000859489668050925,113
VIS评分,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.7262411341975108,0.4984527300495328,0.4837238300460549,0.18210159504971457,1.2849351686927541,0.1451188686833186,0.000859489668050925,113
血栓,有 vs 无,分类变量，缺失剔除,-1.3239112885410176,0.4694174931529883,0.2660924994006466,0.10603853970430438,0.6677309819121259,0.004797458806775828,0.003127084752114473,113
