变量,比较,变量类型,回归系数β,标准误SE,OR,OR 95%CI下限,OR 95%CI上限,P值,整体P值,样本量
出血,有 vs 无,分类变量，缺失剔除,-2.5168809230765894,0.6700805886249697,0.08071095824075389,0.021704954131081425,0.30012773769525364,0.00017259078348305884,3.307762607600938e-06,118
血栓,有 vs 无,分类变量，缺失剔除,-1.427554063826217,0.48509205589733406,0.23989497302260362,0.09270646918758069,0.6207721919068112,0.003252039830812691,0.0024180471144210508,118
